"paper_id","citation_key","note_file","pdf_status","pdf_best_match_name","pdf_best_match_path","best_score","alt_match_2","alt2_score","alt_match_3","alt3_score"
"P-032","beel_towards_2016","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-032_beel_towards_2016.md","matched","Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Beel et al. - 2016 - Towards reproducibility in recommender-systems research.pdf","12","Flexer and Grill - 2016 - The Problem of Limited Inter-rater Agreement in Modelling Music Similarity.pdf","4","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","2"
"P-033","bellogin_improving_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-033_bellogin_improving_2021.md","matched","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","10","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","6","Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","4"
"P-034","cavenaghi_systematic_2023","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-034_cavenaghi_systematic_2023.md","matched","Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","14","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","6","Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","5"
"P-035","binette_almost_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-035_binette_almost_2022.md","matched","Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Binette and Steorts - 2022 - (Almost) all of entity resolution.pdf","13","Revathy and Pillai - 2022 - Multi-class classification of song emotions using Machine learning.pdf","4","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","4"
"P-036","elmagarmid_duplicate_2007","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-036_elmagarmid_duplicate_2007.md","matched","Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","13","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","4","Allam et al. - 2018 - Improved suffix blocking for record linkage and entity resolution.pdf","1"
"P-037","ferrari_dacrema_troubling_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-037_ferrari_dacrema_troubling_2021.md","matched","Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Ferrari Dacrema et al. - 2021 - A Troubling Analysis of Reproducibility and Progress in Recommender Systems Research.pdf","15","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","6","Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","4"
"P-038","herlocker_evaluating_2004","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-038_herlocker_evaluating_2004.md","matched","Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf","13","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","2","Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","2"
"P-039","kowald_support_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-039_kowald_support_2021.md","matched","Kowald et al. - 2021 - Support the underground characteristics of beyond-mainstream music listeners.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Kowald et al. - 2021 - Support the underground characteristics of beyond-mainstream music listeners.pdf","16","Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","5","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","5"
"P-040","zhu_bars_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-040_zhu_bars_2022.md","matched","Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Zhu et al. - 2022 - BARS Towards Open Benchmarking for Recommender Systems.pdf","9","Lopes et al. - 2022 - XAI Systems Evaluation A Review of Human and Computer-Centred Methods.pdf","4","Revathy and Pillai - 2022 - Multi-class classification of song emotions using Machine learning.pdf","4"
"P-041","pegoraro_santana_music4all_2020","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-041_pegoraro_santana_music4all_2020.md","matched","Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","15","Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","5","Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","4"
"P-042","sotirou_musiclime_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-042_sotirou_musiclime_2025.md","matched","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","15","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","5","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","5"
"P-043","liu_aggregating_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-043_liu_aggregating_2025.md","matched","Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","15","Liu et al. - 2025 - Multimodal Recommender Systems A Survey.pdf","9","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","5"
"P-044","ru_improving_2023","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-044_ru_improving_2023.md","matched","Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf","11","Ostermann et al. - 2023 - AAM a dataset of Artificial Audio Multitracks for diverse music information retrieval tasks.pdf","6","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","5"
"P-045","moysis_music_2023","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-045_moysis_music_2023.md","matched","Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Moysis et al. - 2023 - Music Deep Learning Deep Learning Methods for Music Signal Processing—A Review of the State-of-the-.pdf","14","Ostermann et al. - 2023 - AAM a dataset of Artificial Audio Multitracks for diverse music information retrieval tasks.pdf","6","Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf","6"
"P-046","kang_are_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-046_kang_are_2025.md","matched","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","15","Liu - 2025 - Aggregating Contextual Information for Multi-Criteria Online Music Recommendations.pdf","5","Shakespeare et al. - 2025 - Reframing the filter bubble through diverse scale effects in online music consumption.pdf","5"
"P-047","zhu_muq_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-047_zhu_muq_2025.md","matched","Zhu et al. - 2025 - MuQ Self-Supervised Music Representation Learning With Mel Residual Vector Quantization.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Zhu et al. - 2025 - MuQ Self-Supervised Music Representation Learning With Mel Residual Vector Quantization.pdf","14","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","5","Gemilang and Toto Wibowo - 2025 - Combining Graph Neural Network with Attention Mechanism in Sequence-Based Music Recommendation Syste.pdf","5"
"P-048","knox_loss_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-048_knox_loss_2021.md","matched","Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","16","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","7","Ens and Pasquier - 2021 - BUILDING THE METAMIDI DATASET LINKING SYMBOLIC AND AUDIO MUSICAL DATA.pdf","5"
"P-049","pandeya_multi-modal_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-049_pandeya_multi-modal_2021.md","matched","Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Pandeya et al. - 2021 - Multi-modal, Multi-task and Multi-label for Music Genre Classification and Emotion Regression.pdf","14","Knox et al. - 2021 - Loss Function Approaches for Multi-label Music Tagging.pdf","7","Ens and Pasquier - 2021 - BUILDING THE METAMIDI DATASET LINKING SYMBOLIC AND AUDIO MUSICAL DATA.pdf","5"
"P-050","schedl_investigating_2017","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-050_schedl_investigating_2017.md","matched","Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","15","Schedl et al. - 2018 - Current challenges and visions in music recommender systems research.pdf","6","Askin and Mauskapf - 2017 - What Makes Popular Culture Popular Product Features and Optimal Differentiation in Music.pdf","5"
"P-051","siedenburg_modeling_2017","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-051_siedenburg_modeling_2017.md","matched","Siedenburg and Müllensiefen - 2017 - Modeling Timbre Similarity of Short Music Clips.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Siedenburg and Müllensiefen - 2017 - Modeling Timbre Similarity of Short Music Clips.pdf","16","Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","5","Askin and Mauskapf - 2017 - What Makes Popular Culture Popular Product Features and Optimal Differentiation in Music.pdf","5"
"P-052","anelli_elliot_2021","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-052_anelli_elliot_2021.md","matched","Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Anelli et al. - 2021 - Elliot A Comprehensive and Rigorous Framework for Reproducible Recommender Systems Evaluation.pdf","16","Bellogín and Said - 2021 - Improving accountability in recommender systems research through reproducibility.pdf","4","Barlaug and Gulla - 2021 - Neural Networks for Entity Matching A Survey.pdf","4"
"P-053","betello_reproducible_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-053_betello_reproducible_2025.md","matched","Betello et al. - 2025 - A Reproducible Analysis of Sequential Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Betello et al. - 2025 - A Reproducible Analysis of Sequential Recommender Systems.pdf","12","Zhu et al. - 2025 - MuQ Self-Supervised Music Representation Learning With Mel Residual Vector Quantization.pdf","4","Gemilang and Toto Wibowo - 2025 - Combining Graph Neural Network with Attention Mechanism in Sequence-Based Music Recommendation Syste.pdf","4"
"P-054","shakespeare_reframing_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-054_shakespeare_reframing_2025.md","matched","Shakespeare et al. - 2025 - Reframing the filter bubble through diverse scale effects in online music consumption.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Shakespeare et al. - 2025 - Reframing the filter bubble through diverse scale effects in online music consumption.pdf","16","Gemilang and Toto Wibowo - 2025 - Combining Graph Neural Network with Attention Mechanism in Sequence-Based Music Recommendation Syste.pdf","4","Sotirou et al. - 2025 - MusicLIME Explainable Multimodal Music Understanding.pdf","4"
"P-055","jannach_measuring_2019","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-055_jannach_measuring_2019.md","matched","Jannach and Jugovac - 2019 - Measuring the Business Value of Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Jannach and Jugovac - 2019 - Measuring the Business Value of Recommender Systems.pdf","13","Bonnin and Jannach - 2015 - Automated Generation of Music Playlists Survey and Experiments.pdf","5","Andjelkovic et al. - 2019 - Moodplay Interactive music recommendation based on Artists’ mood similarity.pdf","4"
"P-056","sanchez_pointofinterest_2022","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-056_sanchez_pointofinterest_2022.md","matched","Sánchez and Bellogín - 2022 - Point-of-Interest Recommender Systems Based on Location-Based Social Networks A Survey from an Expe.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Sánchez and Bellogín - 2022 - Point-of-Interest Recommender Systems Based on Location-Based Social Networks A Survey from an Expe.pdf","9","Fkih - 2022 - Similarity measures for Collaborative Filtering-based Recommender Systems Review and experimental c.pdf","5","Assuncao et al. - 2022 - Considering emotions and contextual factors in music recommendation a systematic literature review.pdf","4"
"P-057","bauer_exploring_2024","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-057_bauer_exploring_2024.md","matched","Bauer et al. - 2024 - Exploring the Landscape of Recommender Systems Evaluation Practices and Perspectives.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Bauer et al. - 2024 - Exploring the Landscape of Recommender Systems Evaluation Practices and Perspectives.pdf","15","Dular and Špiclin - 2024 - BASE Brain Age Standardized Evaluation.pdf","5","Furini and Fragnelli - 2024 - Social music discovery an ethical recommendation system based on friend’s preferred songs.pdf","4"
"P-058","yu_self_supervised_2024","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-058_yu_self_supervised_2024.md","matched","Yu et al. - 2024 - Self-Supervised Learning for Recommender Systems A Survey.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Yu et al. - 2024 - Self-Supervised Learning for Recommender Systems A Survey.pdf","8","Self-Supervised_Learning_for_Recommender_Systems_A_Survey.pdf","4","Araz et al. - 2024 - Discogs-VI A Musical Version Identification Dataset Based on Public Editorial Metadata.pdf","4"
"P-059","zamani_analysis_2019","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-059_zamani_analysis_2019.md","matched","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\572\Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","16","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","16","Gatzioura et al. - 2019 - A Hybrid Recommender System for Improving Automatic Playlist Continuation.pdf","5"
"P-060","teinemaa_composition_2018","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-060_teinemaa_composition_2018.md","matched","Teinemaa et al. - 2018 - Automatic Playlist Continuation through a Composition of Collaborative Filters.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Teinemaa et al. - 2018 - Automatic Playlist Continuation through a Composition of Collaborative Filters.pdf","16","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","7","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","7"
"P-061","bonnin_automated_2015","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-061_bonnin_automated_2015.md","matched","Bonnin and Jannach - 2015 - Automated Generation of Music Playlists Survey and Experiments.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\569\Bonnin and Jannach - 2015 - Automated Generation of Music Playlists Survey and Experiments.pdf","15","Lu et al. - 2015 - Recommender system application developments A survey.pdf","4","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","3"
"P-062","mcfee_million_2012","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-062_mcfee_million_2012.md","matched","McFee et al. - 2012 - The million song dataset challenge.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\nw\files\570\McFee et al. - 2012 - The million song dataset challenge.pdf","13","Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf","4","Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","4"
"P-063","bertin_mahieux_million_2011","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-063_bertin_mahieux_million_2011.md","matched","Bertin-Mahieux et al. - 2011 - The Million Song Dataset.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Bertin-Mahieux et al. - 2011 - The Million Song Dataset.pdf","13","Bertin-Mahieux et al. - Columbia University LabROSA, EE Dept..pdf","6","McFee et al. - 2012 - The million song dataset challenge.pdf","3"
"P-064","furini_social_2024","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-064_furini_social_2024.md","matched","Furini and Fragnelli - 2024 - Social music discovery an ethical recommendation system based on friend’s preferred songs.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\rp\files\577\Furini and Fragnelli - 2024 - Social music discovery an ethical recommendation system based on friend’s preferred songs.pdf","16","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","5","Araz et al. - 2024 - Discogs-VI A Musical Version Identification Dataset Based on Public Editorial Metadata.pdf","5"
"P-065","schweiger_impact_2025","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-065_schweiger_impact_2025.md","matched","Schweiger et al. - 2025 - The impact of playlist characteristics on coherence in user-curated music playlists.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\rp\files\578\Schweiger et al. - 2025 - The impact of playlist characteristics on coherence in user-curated music playlists.pdf","16","Kang and Herremans - 2025 - Are We There Yet A Brief Survey of Music Emotion Prediction Datasets, Models and Outstanding Challe.pdf","5","Gemilang and Toto Wibowo - 2025 - Combining Graph Neural Network with Attention Mechanism in Sequence-Based Music Recommendation Syste.pdf","5"
