track_id,is_seed_track,lead_genre,semantic_score,lead_genre_match,genre_overlap_count,tag_overlap_count,numeric_pass_count,bpm_distance,danceability_distance,loudness_distance,V_mean_distance,A_mean_distance,D_mean_distance,decision,decision_reason
0ng9VQtWuSjd0arq,1,indie rock,3,1,2,6,6,17.164526,0.268352,2.097643,0.156485,0.129585,0.509753,reject,reject: seed track excluded from retrieval output
lJKIbZNzpS6IsNgh,1,indie pop,3,1,1,5,5,8.812689,0.372534,3.744337,0.024955,0.907318,0.144116,reject,reject: seed track excluded from retrieval output
yfm7RER1PWTqgjIp,1,electronic,3,1,2,6,4,34.288888,0.121153,8.169462,0.130519,0.070468,0.09273,reject,reject: seed track excluded from retrieval output
io7RYSOjKB4YpBKy,1,trip hop,3,1,2,1,5,21.217439,0.026357,3.943348,0.014135,0.577612,0.004673,reject,reject: seed track excluded from retrieval output
L4lGOjfg9lTLXh3U,1,alternative rock,3,1,3,3,5,36.867133,0.17606,0.231052,0.369538,0.317688,0.497065,reject,reject: seed track excluded from retrieval output
zp4zYVjiH2Tm3gTM,1,pop,3,1,1,2,5,3.708093,0.282883,7.117703,0.455919,0.197566,0.36002,reject,reject: seed track excluded from retrieval output
lZDk11KaRskQqhWf,1,indie rock,3,1,2,6,5,30.612237,0.236139,0.276838,0.407108,0.014198,0.05202,reject,reject: seed track excluded from retrieval output
wQ4RdMXUKj1ry4p6,1,indie rock,3,1,1,7,5,23.680502,0.131577,5.418488,0.409787,0.228089,0.072419,reject,reject: seed track excluded from retrieval output
cDf6FcmbzmqAMZXB,0,indie pop,3,1,2,4,5,35.262132,0.224469,5.340545,0.399304,0.225622,0.356585,keep,"keep: semantic_score=3, numeric_pass_count=5"
KxryDZFfi0mkMMiM,0,alternative rock,3,1,2,5,6,1.129462,0.301741,0.593041,0.213982,0.011138,0.212621,keep,"keep: semantic_score=3, numeric_pass_count=6"
o2LcK38b4mFLa55g,0,alternative rock,3,1,2,5,6,16.98699,0.365617,0.94393,0.151851,0.069835,0.498768,keep,"keep: semantic_score=3, numeric_pass_count=6"
axdv4kGugNPl0G69,0,alternative rock,3,1,2,4,4,8.644858,0.829741,7.384785,0.67638,0.111164,0.119232,keep,"keep: semantic_score=3, numeric_pass_count=4"
Nyb0YqqyaSvWThIG,0,indie pop,3,1,3,7,5,19.661765,0.952147,1.492235,0.013038,0.208125,0.083027,keep,"keep: semantic_score=3, numeric_pass_count=5"
hn1Z3OcZ4HM3hcIi,0,indie rock,3,1,2,5,5,7.064073,0.186265,6.137718,0.147518,0.114168,0.119991,keep,"keep: semantic_score=3, numeric_pass_count=5"
X4fkzkyHslEut5Tc,0,indie rock,3,1,2,5,6,18.186865,0.110542,5.639253,0.679691,0.19632,0.433749,keep,"keep: semantic_score=3, numeric_pass_count=6"
9EERk7bPIn9HNBvE,0,pop,3,1,1,1,3,27.393281,0.502352,0.230997,1.22455,0.635815,0.603673,keep,"keep: semantic_score=3, numeric_pass_count=3"
CiLFjUJvYWGmyr2d,0,indie rock,3,1,2,5,6,16.027017,0.313491,4.351065,0.208047,0.220042,0.050328,keep,"keep: semantic_score=3, numeric_pass_count=6"
8keAhBJumHlc8qe9,0,indie rock,3,1,3,4,4,37.05799,0.139268,6.098894,0.150254,0.167612,0.058732,keep,"keep: semantic_score=3, numeric_pass_count=4"
IYI6RFvYIFFg9Mi7,0,trip hop,3,1,2,2,5,11.700357,0.221104,2.206963,1.478803,0.421015,0.403977,keep,"keep: semantic_score=3, numeric_pass_count=5"
jmq9rFLdkgwkaqyV,0,electronic,3,1,2,3,4,32.385461,0.04349,9.977,0.476867,0.404816,0.346578,keep,"keep: semantic_score=3, numeric_pass_count=4"
POdgTSLBnoFJaj2x,0,indie rock,3,1,2,5,6,1.194108,0.196852,0.129433,0.2568,0.274004,0.141496,keep,"keep: semantic_score=3, numeric_pass_count=6"
nlgMHNZ0qCS2vdmV,0,indie rock,3,1,2,5,5,36.397574,0.109987,1.524234,0.1382,0.118803,0.360514,keep,"keep: semantic_score=3, numeric_pass_count=5"
9CHzAeSHv9tWaIXW,0,electronic,3,1,1,2,6,0.6696,0.086952,2.692967,0.635687,0.064144,0.236727,keep,"keep: semantic_score=3, numeric_pass_count=6"
APCOA8vqweV4WMee,0,electronic,3,1,1,1,5,32.813239,0.133509,4.719958,0.355515,0.293168,0.27969,keep,"keep: semantic_score=3, numeric_pass_count=5"
0X9aluHlz6iKWBMR,0,alternative rock,3,1,2,4,5,29.158922,0.169502,4.683153,0.103973,0.055398,0.041725,keep,"keep: semantic_score=3, numeric_pass_count=5"
j8qrlsfqWAPqzqD9,0,indie rock,3,1,2,5,6,18.303575,0.13728,2.820671,0.134962,0.333664,0.000512,keep,"keep: semantic_score=3, numeric_pass_count=6"
QhQahljQAwJIBXvA,0,electronic,3,1,2,3,6,7.712035,0.198196,5.702088,0.481842,0.06124,0.301232,keep,"keep: semantic_score=3, numeric_pass_count=6"
PvGcoMH6vGWBaoXh,0,indie rock,3,1,2,4,5,20.205644,0.028225,1.70949,0.165509,0.073103,0.286094,keep,"keep: semantic_score=3, numeric_pass_count=5"
9ZtfD8gBZXonrJKX,0,pop,3,1,1,1,6,5.528845,0.22708,0.256353,0.199748,0.042624,0.12992,keep,"keep: semantic_score=3, numeric_pass_count=6"
xr1HkbplUycZcEZX,0,indie rock,3,1,2,4,6,7.29854,0.194578,5.996206,0.221788,0.111529,0.31569,keep,"keep: semantic_score=3, numeric_pass_count=6"
yKSK3z6kBv2YJfjx,0,indie rock,3,1,2,5,5,29.545908,0.121098,3.792352,0.472271,0.148349,0.274914,keep,"keep: semantic_score=3, numeric_pass_count=5"
1XZP3bEawLbWfSkM,0,indie rock,3,1,3,5,6,13.293695,0.2644,3.882158,0.125903,0.080308,0.101771,keep,"keep: semantic_score=3, numeric_pass_count=6"
SezvoI7y9p6mDvB3,0,pop,3,1,2,4,6,18.264136,0.2027,5.899023,0.020038,0.210783,0.081872,keep,"keep: semantic_score=3, numeric_pass_count=6"
yUa5uu5wFCGwl2PK,0,indie pop,3,1,3,6,5,9.226213,0.024969,6.637482,0.217801,0.276474,0.041877,keep,"keep: semantic_score=3, numeric_pass_count=5"
ZroyniZj5TmQTEeg,0,pop,3,1,2,4,5,19.374567,0.14985,6.773806,0.55889,0.150388,0.286046,keep,"keep: semantic_score=3, numeric_pass_count=5"
WMPyZbE6EvI5f4wF,0,pop,3,1,1,1,3,42.416937,0.905793,8.163094,0.767892,0.627975,0.224283,keep,"keep: semantic_score=3, numeric_pass_count=3"
zs8HfoDBJLYAtDrU,0,pop,3,1,1,4,4,25.779481,0.384383,7.064328,0.588527,0.133593,0.225842,keep,"keep: semantic_score=3, numeric_pass_count=4"
P3KEx5uCaRSiG2x2,0,indie rock,3,1,2,4,4,31.208456,0.249282,6.358708,0.409591,0.268867,0.149705,keep,"keep: semantic_score=3, numeric_pass_count=4"
UD0DWvRMwWe8Swiw,0,indie rock,3,1,2,6,5,29.471925,0.313005,5.359851,0.118548,0.49572,0.124475,keep,"keep: semantic_score=3, numeric_pass_count=5"
9z2L8uD3GjNoXSRs,0,pop,3,1,1,1,5,41.751146,0.225793,2.415744,0.520761,0.047436,0.253908,keep,"keep: semantic_score=3, numeric_pass_count=5"
X4ws3hW4yKZyFPi6,0,indie pop,3,1,2,4,4,20.325914,0.151513,6.985129,0.401461,0.238606,0.161488,keep,"keep: semantic_score=3, numeric_pass_count=4"
B7SJXdcP0HhDMyfm,0,indie rock,3,1,1,3,5,42.331015,0.292375,2.590639,0.14799,0.533089,0.073768,keep,"keep: semantic_score=3, numeric_pass_count=5"
ez35sBpNVUuM6emD,0,indie rock,3,1,1,5,4,42.212637,0.108521,6.98546,0.061942,0.348973,0.188443,keep,"keep: semantic_score=3, numeric_pass_count=4"
jPv1Tj4Mgo4l2Oue,0,indie rock,3,1,2,5,6,1.120329,0.057318,2.487431,0.017175,0.522087,0.104154,keep,"keep: semantic_score=3, numeric_pass_count=6"
ql2191d6uNCVM932,0,alternative rock,3,1,2,4,5,58.919486,0.108241,3.195093,0.334941,0.319118,0.186178,keep,"keep: semantic_score=3, numeric_pass_count=5"
JdKYM8BZEjL8VmSe,0,pop punk,2,0,1,3,5,52.979224,0.137716,5.032934,0.133761,0.105035,0.204817,keep,"keep: semantic_score=2, numeric_pass_count=5"
9CLTmq6Ps7WVseF2,0,hard rock,2,0,1,1,4,32.385581,0.391659,2.865652,0.935038,0.204643,0.33611,keep,"keep: semantic_score=2, numeric_pass_count=4"
PZEgbQhTHMMrKRLv,0,folk,2,0,1,4,5,5.07184,0.233913,6.178536,0.011734,0.060595,0.004565,keep,"keep: semantic_score=2, numeric_pass_count=5"
eNKt8Nt4qTpVT935,0,hard rock,2,0,1,1,5,43.333162,0.364544,2.224243,0.52653,0.038518,0.066429,keep,"keep: semantic_score=2, numeric_pass_count=5"
VUwJpQjeH7lOujed,0,hard rock,2,0,1,1,6,0.865042,0.011824,1.89445,0.708795,0.684804,0.319685,keep,"keep: semantic_score=2, numeric_pass_count=6"
BbjwoLBQtBZL1YfK,0,hip hop,1,0,0,1,6,15.376878,0.021863,1.256649,0.075276,0.129521,0.351878,reject,"reject: semantic_score=1, numeric_pass_count=6 below keep threshold"
GB9LkV8pTLXCCvX6,0,folk,2,0,1,5,6,15.041772,0.109552,3.550415,0.478221,0.038839,0.01306,keep,"keep: semantic_score=2, numeric_pass_count=6"
zFFaxVMVqVtQMaRB,0,hard rock,2,0,1,1,6,4.517572,0.173951,0.382897,0.425571,0.042678,0.163986,keep,"keep: semantic_score=2, numeric_pass_count=6"
t69cOklpskwuIzkN,0,hard rock,2,0,1,1,5,13.609198,0.714556,5.055605,0.08832,0.030977,0.042486,keep,"keep: semantic_score=2, numeric_pass_count=5"
itO50SbHqR6xiK3t,0,hip hop,2,0,1,3,5,45.715766,0.219784,5.719457,0.395105,0.354136,0.009565,keep,"keep: semantic_score=2, numeric_pass_count=5"
kxCREUSVw4v3sL4R,0,hard rock,1,0,0,1,4,26.985063,0.166139,8.397474,0.264657,0.068565,0.132851,reject,"reject: semantic_score=1, numeric_pass_count=4 below keep threshold"
vKFHcHKZg3pclkXm,0,country,0,0,0,0,5,8.062105,0.208707,0.951737,0.467108,1.10816,0.541167,reject,"reject: semantic_score=0, numeric_pass_count=5 below keep threshold"
TYoYVKiQpzhvcatl,0,hip hop,1,0,0,1,5,7.029047,0.705085,0.780517,0.394177,0.173237,0.259636,reject,"reject: semantic_score=1, numeric_pass_count=5 below keep threshold"
VjL805nl0oHFzqSt,0,hard rock,2,0,1,1,4,25.129096,0.622069,5.578841,0.079962,0.049279,0.053232,keep,"keep: semantic_score=2, numeric_pass_count=4"
QJidJKvG8eJcobww,0,folk,1,0,0,2,5,42.212668,0.007406,5.61183,0.505879,0.129279,0.405507,reject,"reject: semantic_score=1, numeric_pass_count=5 below keep threshold"
